"Data Set 1:Time(s)","Data Set 1:Cuff Pressure(mm Hg)","Data Set 1:Systolic(mm Hg)","Data Set 1:Diastolic(mm Hg)","Data Set 1:Pulse(bpm)","Data Set 1:Mean Arterial Pressure(mm Hg)"
0,0.59676422947086394,4.3465290332724976e-314,6.0265465597360631e-312,6.0265997915940288e-312,18.859674674808048
0.01,0.59676422947086394,,,,
0.02,0.59676422947086394,,,,
0.029999999999999999,0.59676422947086394,,,,
0.040000000000000001,0.59676422947086394,,,,
0.050000000000000003,0.59676422947086394,,,,
0.059999999999999998,0.59676422947086394,,,,
0.070000000000000007,0.59676422947086394,,,,
0.080000000000000002,0.59676422947086394,,,,
0.089999999999999997,0.59676422947086394,,,,
0.10000000000000001,0.67074307275470346,,,,
0.11,0.59676422947086394,,,,
0.12,0.59676422947086394,,,,
0.13,0.59676422947086394,,,,
0.14000000000000001,0.67074307275470346,,,,
0.14999999999999999,0.67074307275470346,,,,
0.16,0.67074307275470346,,,,
0.17000000000000001,0.59676422947086394,,,,
0.17999999999999999,0.67074307275470346,,,,
0.19,0.67074307275470346,,,,
0.20000000000000001,0.59676422947086394,,,,
0.20999999999999999,0.59676422947086394,,,,
0.22,0.67074307275470346,,,,
0.23000000000000001,0.59676422947086394,,,,
0.23999999999999999,0.59676422947086394,,,,
0.25,0.59676422947086394,,,,
0.26000000000000001,0.67074307275470346,,,,
0.27000000000000002,0.59676422947086394,,,,
0.28000000000000003,0.59676422947086394,,,,
0.28999999999999998,0.67074307275470346,,,,
0.29999999999999999,0.59676422947086394,,,,
0.31,0.59676422947086394,,,,
0.32000000000000001,0.59676422947086394,,,,
0.33000000000000002,0.59676422947086394,,,,
0.34000000000000002,0.67074307275470346,,,,
0.34999999999999998,0.67074307275470346,,,,
0.35999999999999999,0.59676422947086394,,,,
0.37,0.59676422947086394,,,,
0.38,0.67074307275470346,,,,
0.39000000000000001,0.59676422947086394,,,,
0.40000000000000002,0.67074307275470346,,,,
0.40999999999999998,0.59676422947086394,,,,
0.41999999999999998,0.59676422947086394,,,,
0.42999999999999999,0.59676422947086394,,,,
0.44,0.67074307275470346,,,,
