"Data Set 1:Time(s)","Data Set 1:Cuff Pressure(mm Hg)","Data Set 1:Systolic(mm Hg)","Data Set 1:Diastolic(mm Hg)","Data Set 1:Pulse(bpm)","Data Set 1:Mean Arterial Pressure(mm Hg)","Data Set 2:Time(s)","Data Set 2:Cuff Pressure(mm Hg)","Data Set 2:Systolic(mm Hg)","Data Set 2:Diastolic(mm Hg)","Data Set 2:Pulse(bpm)","Data Set 2:Mean Arterial Pressure(mm Hg)","Data Set 3:Time(s)","Data Set 3:Cuff Pressure(mm Hg)","Data Set 3:Systolic(mm Hg)","Data Set 3:Diastolic(mm Hg)","Data Set 3:Pulse(bpm)","Data Set 3:Mean Arterial Pressure(mm Hg)","Data Set 4:Time(s)","Data Set 4:Cuff Pressure(mm Hg)","Data Set 4:Systolic(mm Hg)","Data Set 4:Diastolic(mm Hg)","Data Set 4:Pulse(bpm)","Data Set 4:Mean Arterial Pressure(mm Hg)","Data Set 5:Time(s)","Data Set 5:Cuff Pressure(mm Hg)","Data Set 5:Systolic(mm Hg)","Data Set 5:Diastolic(mm Hg)","Data Set 5:Pulse(bpm)","Data Set 5:Mean Arterial Pressure(mm Hg)"
0,0.74965383892413229,,,,,0,1.6127403439022601,76.785108966054395,71.532611092901789,79.172610556348076,90.579697277047671,0,1.7705618762411177,34.691147137549706,27.012143204687163,55.003819709702043,36.101677082828246,0,4.2019998588366434,4.3465290332724976e-314,85.721753234742209,40.404040404040408,136.67344856576528,0,3.0232702891808003,4.3465290332724976e-314,63.61687486153096,69.806094182825476,88.074280451168306
0.01,0.67074307275470346,,,,,0.01,1.6127403439022601,,,,,0.01,1.8494726424105465,,,,,0.01,4.2809106250060722,,,,,0.01,3.0232702891808003,,,,
0.02,0.67074307275470346,,,,,0.02,1.6127403439022601,,,,,0.02,1.7705618762411177,,,,,0.02,4.3548894682899117,,,,,0.02,3.0232702891808003,,,,
0.029999999999999999,0.67074307275470346,,,,,0.029999999999999999,1.6127403439022601,,,,,0.029999999999999999,1.7705618762411177,,,,,0.029999999999999999,4.4338002344593406,,,,,0.029999999999999999,3.0232702891808003,,,,
0.040000000000000001,0.59676422947086394,,,,,0.040000000000000001,1.6127403439022601,,,,,0.040000000000000001,1.7705618762411177,,,,,0.040000000000000001,4.4338002344593406,,,,,0.040000000000000001,3.0232702891808003,,,,
0.050000000000000003,0.67074307275470346,,,,,0.050000000000000003,1.5338295777328312,,,,,0.050000000000000003,1.7705618762411177,,,,,0.050000000000000003,4.4338002344593406,,,,,0.050000000000000003,3.0232702891808003,,,,
0.059999999999999998,0.59676422947086394,,,,,0.059999999999999998,1.6916511100716889,,,,,0.059999999999999998,1.7705618762411177,,,,,0.059999999999999998,4.5127110006287694,,,,,0.059999999999999998,3.1021810553502291,,,,
0.070000000000000007,0.67074307275470346,,,,,0.070000000000000007,1.6127403439022601,,,,,0.070000000000000007,1.7705618762411177,,,,,0.070000000000000007,4.5916217667981982,,,,,0.070000000000000007,3.0232702891808003,,,,
0.080000000000000002,0.67074307275470346,,,,,0.080000000000000002,1.6916511100716889,,,,,0.080000000000000002,1.7705618762411177,,,,,0.080000000000000002,4.5916217667981982,,,,,0.080000000000000002,3.0232702891808003,,,,
0.089999999999999997,0.67074307275470346,,,,,0.089999999999999997,1.6916511100716889,,,,,0.089999999999999997,1.7705618762411177,,,,,0.089999999999999997,4.670532532967627,,,,,0.089999999999999997,3.0232702891808003,,,,
0.10000000000000001,0.74965383892413229,,,,,0.10000000000000001,1.6127403439022601,,,,,0.10000000000000001,1.7705618762411177,,,,,0.10000000000000001,4.670532532967627,,,,,0.10000000000000001,3.0232702891808003,,,,
0.11,0.67074307275470346,,,,,0.11,1.6916511100716889,,,,,0.11,1.7705618762411177,,,,,0.11,4.5916217667981982,,,,,0.11,3.0232702891808003,,,,
0.12,0.74965383892413229,,,,,0.12,1.7705618762411177,,,,,0.12,1.7705618762411177,,,,,0.12,4.670532532967627,,,,,0.12,3.0232702891808003,,,,
0.13,0.67074307275470346,,,,,0.13,1.7705618762411177,,,,,0.13,1.7705618762411177,,,,,0.13,4.670532532967627,,,,,0.13,3.0232702891808003,,,,
0.14000000000000001,0.67074307275470346,,,,,0.14000000000000001,1.6916511100716889,,,,,0.14000000000000001,1.6916511100716889,,,,,0.14000000000000001,4.5916217667981982,,,,,0.14000000000000001,3.0232702891808003,,,,
0.14999999999999999,0.67074307275470346,,,,,0.14999999999999999,1.6916511100716889,,,,,0.14999999999999999,1.7705618762411177,,,,,0.14999999999999999,4.5916217667981982,,,,,0.14999999999999999,3.0232702891808003,,,,
0.16,0.67074307275470346,,,,,0.16,1.7705618762411177,,,,,0.16,1.7705618762411177,,,,,0.16,4.5916217667981982,,,,,0.16,3.0232702891808003,,,,
0.17000000000000001,0.67074307275470346,,,,,0.17000000000000001,1.7705618762411177,,,,,0.17000000000000001,1.7705618762411177,,,,,0.17000000000000001,4.5916217667981982,,,,,0.17000000000000001,3.0232702891808003,,,,
0.17999999999999999,0.67074307275470346,,,,,0.17999999999999999,1.7705618762411177,,,,,0.17999999999999999,1.7705618762411177,,,,,0.17999999999999999,4.5916217667981982,,,,,0.17999999999999999,3.0232702891808003,,,,
